timestamp,protocol,asset,apy,liquidity,lockup_period,withdrawal_time
2024-01-01,Aave,ETH,8.09,45157118.23031874,3,5
2024-01-01,Aave,BNB,8.35,4502763.866421411,8,2
2024-01-01,Aave,ETH,8.68,46335027.94888344,16,2
2024-01-01,Aave,BNB,8.7,40351701.14376739,14,5
2024-01-01,Aave,ETH,6.51,28426476.88922556,4,4
2024-01-01,Aave,ETH,11.35,10876544.56268105,3,3
2024-01-01,Aave,BNB,14.93,36106241.0657485,16,5
2024-01-01,PancakeFarm,BNB,8.48,18534915.987832755,27,5
2024-01-01,Venus,USDT,14.0,38165344.5806385,13,5
2024-01-01,Venus,USDT,12.43,13916183.73668979,29,5
2024-01-01,Venus,USDT,13.8,12102416.756103236,28,1
2024-01-01,PancakeFarm,BNB,9.3,16541913.618495846,21,1
2024-01-01,Aave,ETH,4.72,18015111.030919265,22,3
2024-01-01,PancakeFarm,USDT,6.32,21729521.234463964,1,3
2024-01-01,PancakeFarm,USDT,10.88,12615564.674844451,30,2
2024-01-01,Venus,ETH,7.17,36526230.89516366,13,4
2024-01-01,Aave,BNB,9.13,14767895.346121915,11,3
2024-01-01,PancakeFarm,USDT,10.78,19372540.984429624,1,4
2024-01-01,Aave,BNB,6.82,45967343.79564247,0,5
2024-01-01,Venus,ETH,14.95,49755096.7564298,18,2
2024-01-01,PancakeFarm,USDT,6.56,46549058.60014652,15,5
2024-01-01,Aave,BNB,12.93,40555635.158369586,16,1
2024-01-01,PancakeFarm,BNB,8.61,22948330.802594278,17,4
2024-01-01,PancakeFarm,BNB,10.27,15846047.074202254,14,3
2024-01-01,PancakeFarm,ETH,3.49,21517762.949320573,8,5
2024-01-01,Venus,ETH,9.65,39063103.11986433,19,5
2024-01-01,Venus,BNB,8.77,44621704.02076769,8,5
2024-01-01,Aave,BNB,11.34,14383803.159016524,12,1
2024-01-01,Aave,BNB,12.76,11818403.723403443,0,2
2024-01-01,Aave,BNB,5.64,27596055.551669095,10,4
2024-01-01,Venus,BNB,14.66,35391552.93884068,16,2
2024-01-01,Venus,BNB,8.63,22616316.315094065,20,1
2024-01-01,Venus,USDT,4.07,2185731.888096414,29,1
2024-01-01,Aave,BNB,12.08,43285734.788995884,6,1
2024-01-01,Aave,ETH,11.79,24239395.424369533,0,2
2024-01-01,Venus,BNB,9.91,42507387.468030296,14,5
2024-01-01,PancakeFarm,USDT,11.52,40125900.574398585,24,2
2024-01-01,Aave,BNB,13.62,8907238.228678476,4,5
2024-01-01,Aave,ETH,5.83,35169976.710185416,9,1
2024-01-01,Venus,USDT,7.89,21372389.031899735,26,5
2024-01-01,Aave,BNB,7.56,8956954.420684349,1,5
2024-01-01,Aave,USDT,10.77,49960437.42945802,4,5
2024-01-01,Venus,USDT,8.15,30766323.918190263,0,5
2024-01-01,PancakeFarm,ETH,11.03,37188245.91912259,9,5
2024-01-01,PancakeFarm,ETH,6.48,8509318.7096975,20,3
2024-01-01,Venus,BNB,14.37,40618563.74477358,26,2
2024-01-01,Venus,USDT,5.55,23875082.334308956,24,2
2024-01-01,PancakeFarm,ETH,5.09,17737626.916579783,8,5
2024-01-01,Aave,BNB,13.93,14290000.555050131,4,4
2024-01-01,Aave,BNB,10.6,12987055.530091194,5,2
